symbol,name,exchange
SD105P.SW,SBI Dom AAA-BBB 10-15 P,EBS
^NQZA3000ZAR,NASDAQ South Africa Cnsmr Goods,
AEXLR.AS,AEX LOW RISK,AMS
^NQUSB8570AUD,NQ US Bnchmk Life Ins AUD Index,
^NQAU5000CAD,NASDAQ Australia Cnsmr Svcs CAD,
^NQTR8000AUD,NASDAQ Turkey Financials AUD In,
^NQUSS3726AUD,NQ US Sm Cap Furnishings AUD In,
^NQBRIC4000AUD,NASDAQ BRIC Health Care AUD Ind,
^NQUSS8530AUDT,NQ US Sm Cap Nonlife Ins AUD TR,
2694.DE,HSBC MSCI EM INAV EUR,GER
^NQDMASIA9000LMN,NASDAQ DM Asia Tech Large Mid C,
^NQMEA5700AUDT,NASDAQ MEA Travel & Leisure AUD,
^NQDMASIA2000EURN,NASDAQ DM Asia Inds EUR NTR Ind,
^NQAU2000EUR,NASDAQ Australia Inds EUR Index,
^NQEMEA2700AUDT,NASDAQ EMEA Ind Goods & Svcs AU,
^NQEMEU8600AUD,NASDAQ EM Europe Real Estate AU,
^NQLA2000LMJPYN,NASDAQ Lat America Inds Lg Md C,
^NQHK4000AUD,NASDAQ Hong Kong Health Care AU,
^NQDMASIA3500EURN,NASDAQ DM Asia Food & Beverage,
^DWSGAXTR,^DWSGAXTR,SNP
^NQNA6000LMAUDT,NASDAQ N America Telecom Lg Md,
^NQDMEU1000AUDT,NASDAQ DM Europe Basic Matls AU,
^NQUSB7530AUDT,NQ US Bnchmk Eltrcty AUD TR Ind,
SD51P.SW,SBI Dom AAA-BBB 5-10 P,EBS
^SPADFP1I,S&P Australian Dollar Futures 1,SNP
^NQUSAJPY,NASDAQ US All Market JPY Index,
G30C.NZ,S&P/NZX ALL CONSUMER STAPLES (S,NZE
SBF34T.SW,SBI For A-BBB T,EBS
NLTEC.AS,AEX TECHNOLOGY,AMS
ST35Y.SW,SBI AAA-BBB 3-5 Y,EBS
^NQUSS2713GBP,NQ US Sm Cap Aerospace GBP Inde,
^BKCNCHTR,BNY Mellon China Select ADR Tot,SNP
EPAS.FGI,,
SDNAD.SW,SBI Dom Non-Gov AAA-A D,EBS
^NQUSL8570AUD,NQ US Lg Cap Life Ins AUD Index,
^NQUSB8771LMEURN,NQ US Asset Managers Large Mid,
^NQUSL2713CADN,NQ US Lg Cap Aerospace CAD NTR,
^NQEMASIA3700T,The NASDAQ EM Asia Personal & H,
3BPK.DE,INAV DBXT LPX CHF,GER
^BKAUT,BNY Mellon Australia ADR Total,SNP
7DXU.DE,HSBC FT100 INAV USD,GER
^NQASPAXJPLMJPYT,NASDAQ ASPA Ex Japan Large Mid,
^NQEMASIA8700LMN,NASDAQ EM Asia Financial Svcs L,
^NQTW3000AUDN,NASDAQ Taiwan Cnsmr Goods AUD N,
^NQTR3000AUDT,NASDAQ Turkey Cnsmr Goods AUD T,
^NQCNAUDT,NASDAQ China AUD TR Index,
^NQDMASPA1000N,The NASDAQ DM ASPA Basic Materi,
^NQUSL2750AUD,NQ US Lg Cap Ind Engineering AU,
^NQES2000AUD,NASDAQ Spain Inds AUD Index,
^NQNA8500N,The NASDAQ North America Insura,
^NQEMASIA2300LMT,NASDAQ EM Asia Constr & Matls L,
^RAPJUSD,Russell Asia Pacific ex-Japan,WCB
^NQUSL8675AUDT,NQ US Lg Cap Specialty REITs AU,
NLRE.AS,,
SBD12D.SW,SBI Dom AAA-AA D,EBS
WIXEBS0580.FGI,,
FCAG.EX,,
^NQASPA5000LMGBPN,NASDAQ ASPA Cnsmr Svcs Large Mi,
^NQZA3000,The NASDAQ South Africa Consume,
^NQATMCCADN,NASDAQ Austria Mid Cap CAD NTR,
^SPBDAGTT,S&P/ASX Australian Government B,SNP
^NQNA3000,The NASDAQ North America Consum,
^SIXYTR,Syntax Consumer Products and Se,NYS
^NQUSL9578AUD,NQ US Lg Cap Telecom Eqpt AUD I,
NLRIS.NX,,
4Q88.DE,INAVISHUKG0-5YRUUSD,GER
ALASN.NX,,
^NQMY7000AUDT,NASDAQ Malaysia Utilities AUD T,
^DWCALU,Dow Jones U.S. Aluminum Total S,DJI
AL83.DE,INAV MSCI SCAPEUR,GER
DT5Y.DE,INAVDBXES50FU EUR,GER
^NQEMEU5000AUDN,NASDAQ EM Europe Cnsmr Svcs AUD,
^NQJP4000AUDT,NASDAQ Japan Health Care AUD TR,
^NQNA5000EURN,NASDAQ N America Cnsmr Svcs EUR,
WIAUS5330.L,,
^NQBR8000AUDN,NASDAQ Brazil Financials AUD NT,
^NQDMASPA4000EUR,NASDAQ DM ASPA Health Care EUR,
^NQSGAUDT,NASDAQ Singapore AUD TR Index,
^NQUSS5555AUDT,NQ US Sm Cap Media Agncs AUD TR,
^NQUSB5555GBPT,NQ US Bnchmk Media Agncs GBP TR,
